layer,position,n_horizon,rho_pc1_horizon,rho_pc2_horizon,rho_pc3_horizon,rho_pc1_reward_ratio,rho_pc1_short_reward,rho_pc1_short_delay,rho_pc1_long_delay,evr_pc1,evr_pc2,evr_pc3,cum_evr_2,cum_evr_5,cum_evr_10,n_pc_horizon,evr_top10,rho_top10,n_choice,silhouette_choice_pc3,rho_pc1_p_short,ridge_r2_horizon
0,T0,3240,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",3000,0.0,,
0,T1,3240,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",3000,0.0,,
0,T2,3240,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",3000,0.0,,
0,T3,3240,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",3000,0.0,,
0,T4,3240,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",3000,0.0,,
0,T5,3240,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",3000,0.0,,
0,T6,3240,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",3000,0.0,,
0,T7,3240,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",3000,0.0,,
0,T8,3240,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",3000,0.0,,
0,R0,3240,-0.0016196587983320144,0.03575377104350879,-0.03575377104350879,0.07457031371235864,0.06923651238896991,0.01986990099762724,-0.03544075531435171,0.9372800588607788,0.06272014230489731,4.752861298973343e-12,1.000000238418579,1.000000238418579,1.000000238418579,0,"[0.9373, 0.0627, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.002, 0.036, 0.036, 0.001, 0.001, 0.002, 0.001, 0.036, 0.002, 0.001]",3000,0.0,,
0,R1,3240,0.0016286716604021168,0.019282429523134064,0.03572340400439258,-0.0744038884493728,-0.06839559862957686,-0.021367415125409378,0.036359913692411136,0.724909782409668,0.22208930552005768,0.053001195192337036,0.9469990730285645,1.000000238418579,1.000000238418579,0,"[0.7249, 0.2221, 0.053, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.002, 0.019, 0.036, 0.019, 0.021, 0.015, 0.036, 0.001, 0.036, 0.019]",3000,0.0,,
0,R2,3240,0.001626720386573309,0.035760820404477985,-0.012007601021819568,-0.07455910247053865,-0.06921358436632087,-0.01987335520692984,0.03545137577215051,0.9272259473800659,0.05013362318277359,0.022640245035290718,0.9773595929145813,0.9999998211860657,0.9999998211860657,0,"[0.9272, 0.0501, 0.0226, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.002, 0.036, 0.012, 0.036, 0.002, 0.002, 0.024, 0.002, 0.001, 0.036]",3000,0.0,,
0,R3,3240,0.005984003833279187,-0.06002070473514967,0.014884313470991445,-0.00578624297248673,-0.07073637217072364,-0.1001562968561508,-0.13263019440982074,0.578650176525116,0.2522144913673401,0.09344465285539627,0.830864667892456,0.9949021339416504,1.0000001192092896,0,"[0.5787, 0.2522, 0.0934, 0.0565, 0.0141, 0.0031, 0.002, 0.0, 0.0, 0.0]","[0.006, 0.06, 0.015, 0.034, 0.044, 0.025, 0.001, 0.003, 0.021, 0.012]",3000,-0.016465960070490837,0.222308141283763,
0,R4,3240,-0.009407939795705238,0.062243046598296214,0.027346470329213186,0.011057403861549893,-0.02653850240448407,-0.05231410326983498,-0.028512428611805623,0.5396777391433716,0.2220369577407837,0.10551941394805908,0.7617146968841553,0.9717894196510315,0.9999998807907104,0,"[0.5397, 0.222, 0.1055, 0.0752, 0.0294, 0.014, 0.0111, 0.0031, 0.0, 0.0]","[0.009, 0.062, 0.027, 0.057, 0.005, 0.043, 0.017, 0.024, 0.062, 0.032]",3000,-0.019644560292363167,0.11709077227967143,
