layer,position,alpha,n,rmse,bias,rmse_debiased,medae,rho,within2x
14,T0,1.0,192,4.420476343201951,3.5065973520009925,2.6915397288072342,4.342739820480347,0.34138660448608604,0.3177083333333333
14,T0,10.0,192,5.015668157151096,3.972217653664868,3.0624196274470035,4.994312335591829,0.29926694533096715,0.20833333333333334
14,T0,100.0,192,2.6947684445764124,1.906932748330555,1.9040442387794605,1.709196378331697,0.25279997958340156,0.041666666666666664
14,T0,1000.0,192,1.5059642876916364,0.30115264167181777,1.4755458387378764,1.2345439558241649,0.2499291167393331,0.125
14,T0,10000.0,192,1.4939733223435792,0.032187091749579975,1.493626552722941,1.3109857618398308,0.25476867923590063,0.125
14,T1,1.0,192,1.3449172336024187,0.42901144124361007,1.2746574239860933,0.5858277112090433,0.6732583492604024,0.3802083333333333
14,T1,10.0,192,2.1782832436775865,1.5598961656023278,1.5204084458545022,1.4910102382712722,0.535538957397803,0.28125
14,T1,100.0,192,2.1901362723718387,1.5473873535523028,1.5499320209690532,1.4534222004307367,0.44100554517526236,0.14583333333333334
14,T1,1000.0,192,1.443829257319558,0.39228530672482775,1.389516161266127,1.120982146761207,0.43103954987371035,0.09375
14,T1,10000.0,192,1.4817853894977497,0.04570831957998004,1.4810802442981177,1.2948910846895814,0.41467563166252003,0.125
14,T3,1.0,192,2.0810302023136167,-1.3449706688792293,1.587998930351028,1.095804214477539,0.44662423388436784,0.359375
14,T3,10.0,192,1.3483153233997256,-0.7858593655398277,1.095618213114334,0.7051051884734476,0.7431843656766417,0.3020833333333333
14,T3,100.0,192,1.1882239912500472,-0.06342591397670778,1.1865299856381262,0.947737044909695,0.7614348508996486,0.140625
14,T3,1000.0,192,1.441224209522694,0.038302421977541114,1.4407151510916267,1.2311720316622539,0.7349408880815309,0.14583333333333334
14,T3,10000.0,192,1.4913063527111765,0.006881578767469791,1.4912904752295508,1.3357056930250764,0.6370444650987956,0.125
14,T5,1.0,192,1.6811368055206362,-0.9663216849437145,1.375661062937986,0.6457443237304688,0.5100292904119373,0.4010416666666667
14,T5,10.0,192,1.066796816191844,0.13179548777433361,1.0586242942797885,0.5025556599411067,0.6910166865672832,0.3125
14,T5,100.0,192,1.3465816378364315,0.49363322379481916,1.2528401125938537,0.8056189780447764,0.574664716729822,0.18229166666666666
14,T5,1000.0,192,1.38997119288974,0.13572710560428228,1.3833286196228325,1.148573672689366,0.5144176093307278,0.13541666666666666
14,T5,10000.0,192,1.4786728997449219,0.016376448038763074,1.4785822115762415,1.285549718100512,0.5133512888457881,0.13020833333333334
14,T8,1.0,192,1.6447298477394032,-0.8208764473866212,1.425236166454809,0.7612487711853929,0.5180677063753291,0.375
14,T8,10.0,192,1.2945289513871003,0.32020468274545794,1.254302263063918,0.6159619727082201,0.5770024193314206,0.3385416666666667
14,T8,100.0,192,1.4913476322144343,0.7282241304446471,1.301463551525642,0.8382120832390426,0.4761531088519293,0.14583333333333334
14,T8,1000.0,192,1.439210600661828,0.19103329762609925,1.4264758786097567,1.2421665554259105,0.418899901275935,0.13541666666666666
14,T8,10000.0,192,1.4888353046944436,0.02155675283116228,1.4886792370796245,1.321754924166882,0.39466161640672837,0.125
14,R0,1.0,192,1.7432683829732043,-0.0038355271290528106,1.743264163517868,0.5769703621651845,0.6001333713893439,0.4114583333333333
14,R0,10.0,192,2.197487880471017,1.5437417267242288,1.5639099929303795,1.6075523391776443,0.5409935968015331,0.25
14,R0,100.0,192,1.9020952418432902,1.3143069440850825,1.3749776600994708,1.174925138097322,0.5005144307001675,0.10416666666666667
