layer,position,alpha,n,rmse,bias,rmse_debiased,medae,rho,within2x
14,T0,1.0,192,0.23208279070919766,0.010118218236090016,0.2318621215358302,0.12828601573835394,0.9865515102009613,0.8489583333333334
14,T0,10.0,192,0.3437025920568058,0.0032443721820128676,0.3436872791298969,0.18292236328125,0.9730174425074954,0.6822916666666666
14,T0,100.0,192,0.8048855831366196,0.0015170941481205587,0.8048841533826604,0.5872304206106944,0.9381569651152355,0.23958333333333334
14,T0,1000.0,192,1.3466794196374814,0.001729567942938474,1.346678308977268,1.1958931490368485,0.8559682631221892,0.125
14,T0,10000.0,192,1.4795717376250745,0.0003476426357242139,1.4795716967837282,1.3296870283372044,0.6931903398635063,0.125
14,T1,1.0,192,0.1835298486015785,0.023956814878107375,0.181959545912311,0.11071029076212202,0.9902016072455625,0.921875
14,T1,10.0,192,0.2939142716365223,-0.018736241288064653,0.2933164712968278,0.1580519676208496,0.9800715626386353,0.7708333333333334
14,T1,100.0,192,0.5155092081298043,-0.06370107136873278,0.5115583223573764,0.2957792282104492,0.9526753286409532,0.5104166666666666
14,T1,1000.0,192,1.0994432484680523,-0.023755419281203283,1.0991865795472382,0.901013414836322,0.9278218588765887,0.203125
14,T1,10000.0,192,1.4403434574337493,-0.0029656726204640993,1.4403404042649484,1.2886897730592834,0.8942327636009877,0.125
14,T3,1.0,192,0.26596652042426083,-0.025597331948159868,0.2647318767804974,0.16377122758231621,0.9838857089886119,0.7604166666666666
14,T3,10.0,192,0.3329614797960717,0.02387200119388229,0.3321046139200555,0.22851078154243964,0.9762984286150023,0.6666666666666666
14,T3,100.0,192,0.74293810567562,0.03944736853035418,0.7418901091003365,0.5451121994049343,0.95595631474846,0.25
14,T3,1000.0,192,1.3207813606256635,0.013810118136725094,1.3207091592069877,1.1604854869608032,0.9028043398068493,0.15625
14,T3,10000.0,192,1.475479383426131,0.002254670583130188,1.4754776607512963,1.3315752401537537,0.7458091545626473,0.125
14,T5,1.0,192,0.2802448451978743,0.025196422609608637,0.27910985928063975,0.13374141929188843,0.9826553391982968,0.7864583333333334
14,T5,10.0,192,0.4240712818734597,0.04700626877240466,0.4214580202177861,0.23549314197739465,0.9605496952989696,0.6197916666666666
14,T5,100.0,192,0.7479752227737936,-0.021535138812739375,0.7476651467601138,0.4863581657409668,0.9028453521331932,0.2760416666666667
14,T5,1000.0,192,1.2050970863862145,-0.03776655864177022,1.2045051575916563,0.9741018819574463,0.7332593827014335,0.11979166666666667
14,T5,10000.0,192,1.441993472314595,-0.004884762165339025,1.4419851987092276,1.259562022197926,0.6199013126870725,0.13020833333333334
14,T8,1.0,192,0.21282002837187344,0.000957068774025909,0.21281787635339,0.12424103857674146,0.9864694855482735,0.8854166666666666
14,T8,10.0,192,0.3259269516447207,0.06929394488326834,0.3184756301680471,0.2123902102735683,0.9748219848666242,0.6458333333333334
14,T8,100.0,192,0.6494949777586483,0.09268188300025589,0.6428481894640709,0.4070335393164439,0.9516910328087012,0.34375
14,T8,1000.0,192,1.263570518094975,0.03638918707561619,1.2630464287835104,1.0966467663235306,0.9199885045449163,0.18229166666666666
14,T8,10000.0,192,1.4679836908605046,0.005582096618087358,1.4679730776924267,1.3186422615832925,0.821107785729929,0.125
14,R0,1.0,192,0.22626127434973659,-0.016549769070822725,0.2256552002814675,0.12418105750140074,0.9878228923176201,0.828125
14,R0,10.0,192,0.32603090971383863,0.03192592080476012,0.3244640036577269,0.1965894802994369,0.9765034902467216,0.6927083333333334
14,R0,100.0,192,0.5806715621642679,0.04482304593962557,0.5789389930372503,0.3581905999131151,0.9602215966882188,0.4427083333333333
14,R0,1000.0,192,1.2319831408750443,0.020167039959799515,1.2318180668830925,1.0371132451061356,0.9395513842109259,0.19791666666666666
14,R0,10000.0,192,1.4643740994467687,0.0029289515808063418,1.4643711702888624,1.3088807794217217,0.7923171326365567,0.125
18,T0,1.0,192,0.1842103401445335,-0.007256252593873673,0.18406736868456242,0.10620013653438318,0.9894633853713736,0.890625
18,T0,10.0,192,0.2697973415382217,-0.020261757599392267,0.2690354375915473,0.16407399330667272,0.9812199077762626,0.7916666666666666
18,T0,100.0,192,0.4416767394612898,-0.021398964551169408,0.4411580516065573,0.22927276074092615,0.9553821421796463,0.609375
18,T0,1000.0,192,0.8917459301512405,-0.01838206179646525,0.8915564501171039,0.6265952992204773,0.9326613133851615,0.2552083333333333
18,T0,10000.0,192,1.3803363128949118,-0.0013916240032302667,1.3803356113927343,1.1886260318521606,0.8905006419036986,0.140625
18,T1,1.0,192,0.16842174794346726,0.018877711865227687,0.1673604408905111,0.07693097388475689,0.9906527428353448,0.9270833333333334
18,T1,10.0,192,0.22565416946352007,0.019384661786676714,0.22482001486452932,0.1065068244934082,0.9861823992638666,0.8645833333333334
18,T1,100.0,192,0.36814487833023146,0.005390134426873185,0.36810541681920567,0.19164411007564294,0.964691940259697,0.7135416666666666
18,T1,1000.0,192,0.6740657259287247,-0.015368432330170009,0.6738905060612828,0.33101364705297,0.9222031701674834,0.4739583333333333
