layer,position,alpha,n,rmse,bias,rmse_debiased,medae,rho,within2x
14,T0,1.0,192,1.7843546139070414,1.2616953869391692,1.2617631072224957,1.1035244976791438,0.7221040299359104,0.453125
14,T0,10.0,192,1.4304202274214406,0.9596688965687367,1.0607250520162843,0.8577416455062923,0.7537655458733512,0.3125
14,T0,100.0,192,1.1701543249441706,0.4262612282960825,1.0897534168044911,0.7971678104665613,0.7324391361745569,0.19270833333333334
14,T0,1000.0,192,1.4087068138390648,0.07630368106792,1.4066387722553702,1.2092380141232295,0.6727251890179324,0.13541666666666666
14,T0,10000.0,192,1.4871573586938898,0.00846418468696005,1.4871332714639167,1.3318555831498742,0.5549377877584372,0.125
14,T1,1.0,192,1.1866382170557017,0.7985461746383917,0.877743849393162,0.623585436699088,0.8577317931549742,0.4635416666666667
14,T1,10.0,192,1.3386781782728623,0.8884650761613461,1.0013436340365693,0.694778361367395,0.8109367287966579,0.375
14,T1,100.0,192,0.9951423167752057,0.5039964710403694,0.8580767959894837,0.6297497257179855,0.8357901985610221,0.296875
14,T1,1000.0,192,1.2520028588088328,0.11897991421115524,1.2463366072132342,1.0605424850358245,0.8558862384695015,0.17708333333333334
14,T1,10000.0,192,1.4649995096137431,0.015513479341239996,1.4649173680202023,1.3017362609095215,0.8359952601927414,0.125
14,T3,1.0,192,3.0715397046046036,2.1112535627910707,2.2309111480658625,1.9292280162063542,0.4924760147367759,0.3333333333333333
14,T3,10.0,192,2.6273051711379947,1.7992096715027308,1.914569669732466,1.5998327544059214,0.49530586525450043,0.3229166666666667
14,T3,100.0,192,1.5172674046118173,0.8246783577878487,1.2735799870027076,0.9572794437408447,0.5203233843242401,0.140625
14,T3,1000.0,192,1.4021038191519783,0.13510570219200976,1.3955792951014168,1.117763619664018,0.5633863269852674,0.15104166666666666
14,T3,10000.0,192,1.4848730249500828,0.01437701255807903,1.4848034219162867,1.319966931972587,0.5392300667687483,0.125
14,T5,1.0,192,1.9153023974847851,1.3142083250958931,1.3932838016928253,0.9854968190193176,0.6796152598436969,0.4010416666666667
14,T5,10.0,192,1.3455218400412892,0.8344023570149354,1.055557543971913,0.7149369716644287,0.7648798863125307,0.2708333333333333
14,T5,100.0,192,1.0768833748570377,0.27681317376387243,1.0406979724561087,0.6431163244677385,0.7278867679503911,0.23958333333333334
14,T5,1000.0,192,1.324555766148461,0.15915148280354466,1.3149596127480758,1.0709493264145493,0.5709325950325329,0.14583333333333334
14,T5,10000.0,192,1.4653298196296944,0.03054616462543236,1.4650114034104544,1.2742494113332867,0.5002683567421045,0.13020833333333334
14,T8,1.0,192,1.1284700884997303,0.786965581996164,0.8087829828773776,0.7016009879346741,0.8702815650161877,0.40625
14,T8,10.0,192,1.5803578643788403,1.1258889431485744,1.1090108508034693,1.0723790442260799,0.7609427029835225,0.328125
14,T8,100.0,192,1.3782405024002102,0.8259245391045225,1.1033564873427653,0.8792386054992676,0.6669834633297955,0.13541666666666666
14,T8,1000.0,192,1.3706170683392989,0.14077702814661838,1.363368246795128,1.1443538724555251,0.7335874813121842,0.13541666666666666
14,T8,10000.0,192,1.4811459755023075,0.011209206306638833,1.4811035596610582,1.322249832708323,0.7178387479961515,0.125
14,R0,1.0,192,0.7647536848375321,0.4424149053523156,0.6237926338092532,0.4157078370041488,0.9217110222513574,0.3958333333333333
14,R0,10.0,192,0.850146102938857,0.5140380593368622,0.6771360793040924,0.42960374508432164,0.9079308805998287,0.4114583333333333
14,R0,100.0,192,0.9292627643825873,0.3800826017786277,0.8479778895072424,0.5699562430381775,0.9031324384176,0.265625
14,R0,1000.0,192,1.3408243012764742,0.08089229652762042,1.3383819496900102,1.160851209363727,0.912319199518619,0.17708333333333334
14,R0,10000.0,192,1.47890035116083,0.008503779769207057,1.478875902296492,1.3278755575008034,0.7051249268295625,0.125
18,T0,1.0,192,1.000854541077453,0.6341465333828541,0.7743177555718762,0.415528855927775,0.8818060287188054,0.453125
18,T0,10.0,192,0.8644834003417585,0.49346991576047866,0.7098020792487122,0.39835244036245865,0.897882860645589,0.4270833333333333
18,T0,100.0,192,0.6933978395064304,0.1904593676059656,0.6667276753842764,0.3124612128575847,0.9162973951739711,0.4583333333333333
18,T0,1000.0,192,1.085360363487692,0.04138075011265404,1.0845712296342038,0.847288585207252,0.8917720240203576,0.19270833333333334
18,T0,10000.0,192,1.4287798597345167,0.00564896387152003,1.4287686925426957,1.2402157294515717,0.8363233588034921,0.11979166666666667
18,T1,1.0,192,1.0761940133487728,0.6293771696318401,0.8729707513507843,0.26489994322984967,0.8387840983841222,0.5364583333333334
18,T1,10.0,192,1.0494134618008855,0.5730009222755047,0.8791692424558195,0.2716561180432535,0.8382099258153085,0.515625
18,T1,100.0,192,0.9495075553366242,0.47159329252731924,0.8241142906688215,0.38811588287353516,0.8466994773684824,0.4114583333333333
18,T1,1000.0,192,0.892871706649006,0.19404061831327404,0.8715320550495609,0.4589201846070238,0.8686000596360905,0.3489583333333333
18,T1,10000.0,192,1.2944290053939975,0.04333985358270135,1.293703253105875,1.1131623491234421,0.8476017485480467,0.17708333333333334
18,T3,1.0,192,1.8227851631022174,1.19872034537089,1.3731770768620741,0.8593387198682678,0.6743656820716859,0.4270833333333333
18,T3,10.0,192,1.9598453101022582,1.3034468287953944,1.4635641441471041,1.253598172688092,0.6427451784605888,0.3697916666666667
18,T3,100.0,192,1.4277772820918122,0.8899159575233074,1.1165113325904295,0.8716824546866776,0.7312497787105856,0.3229166666666667
18,T3,1000.0,192,1.030477384889898,0.1896109401910715,1.0128826842874652,0.6820165126694915,0.8624071983581714,0.19791666666666666
18,T3,10000.0,192,1.399728136241229,0.021428327173413104,1.3995641043481695,1.1961495682186722,0.8423931831023797,0.140625
18,T5,1.0,192,1.7844558485619686,1.1796970709889345,1.3388791940153315,0.6482031345367432,0.7051659391559063,0.3958333333333333
18,T5,10.0,192,1.6008710124103709,1.0116521655002446,1.2407045959512164,0.6642740452972355,0.7271485460762022,0.3541666666666667
18,T5,100.0,192,1.0526911143661437,0.40611897108248995,0.9711982102497579,0.5481333427859147,0.7634034425641527,0.2916666666666667
18,T5,1000.0,192,1.2307675934746922,0.17227394329798348,1.2186511221871696,0.9155780711121507,0.6601344048303751,0.16666666666666666
18,T5,10000.0,192,1.4462420281574546,0.03423196350949135,1.4458368430370254,1.2468116983360886,0.6068593929097329,0.13020833333333334
18,T8,1.0,192,1.0735896588059328,0.5957070757676376,0.893156109185516,0.3472957206006897,0.8441567131351646,0.4739583333333333
18,T8,10.0,192,1.5321601749793263,1.0001359911987395,1.1607078878432742,0.6418642997741699,0.7434304396347049,0.375
18,T8,100.0,192,1.4232784079763474,0.9056829090892485,1.0979343763610474,0.7737529682878601,0.7094312210956653,0.2864583333333333
18,T8,1000.0,192,1.2038920871133385,0.3285783126681261,1.158184980846444,0.8451605101850673,0.7263693118756692,0.16666666666666666
18,T8,10000.0,192,1.439054807130455,0.04062486628174411,1.438481267922826,1.2452625773436665,0.710948677170387,0.13541666666666666
18,R0,1.0,192,1.591932195162036,1.084082447400114,1.1657672843378293,0.6540692364486751,0.751345818619065,0.4114583333333333
18,R0,10.0,192,1.709649073423718,1.1584464803069048,1.2573391374339389,0.7388070928602168,0.7135734660563926,0.375
18,R0,100.0,192,1.2365181444231146,0.7619424183894408,0.9738690222747786,0.697394847869873,0.7900204423613019,0.34375
18,R0,1000.0,192,1.1059393792438312,0.3459812956282708,1.0504279383363784,0.7320879905595061,0.8097473713326867,0.20833333333333334
