layer,position,n95,n99,n_dims_above_noise,scree,noise_scree,tortuosity3,tortuosity_full,planarity2,split_half_r,ends_over_middle_spacing,snr,mean_pr
22,R0,6,13,16,"[np.float32(0.4138), np.float32(0.3859), np.float32(0.1051), np.float32(0.0278), np.float32(0.0163), np.float32(0.0112), np.float32(0.0074), np.float32(0.0055)]","[np.float32(0.0015), np.float32(0.001), np.float32(0.0008), np.float32(0.0005), np.float32(0.0004), np.float32(0.0003), np.float32(0.0003), np.float32(0.0002)]",3.1536173820495605,5.447131633758545,0.7997645139694214,0.9989131188510223,0.584394025465637,0.2551976144313812,7.757420711517334
29,R0,5,12,16,"[np.float32(0.6478), np.float32(0.1496), np.float32(0.1156), np.float32(0.0352), np.float32(0.0126), np.float32(0.0097), np.float32(0.0048), np.float32(0.0043)]","[np.float32(0.0023), np.float32(0.0015), np.float32(0.0007), np.float32(0.0006), np.float32(0.0004), np.float32(0.0004), np.float32(0.0003), np.float32(0.0003)]",3.787360906600952,6.170898914337158,0.7973020672798157,0.998222566158962,0.24387142095894973,0.2799753248691559,5.435559787750244
37,T3,6,13,16,"[np.float32(0.4738), np.float32(0.3138), np.float32(0.1103), np.float32(0.0307), np.float32(0.0173), np.float32(0.0125), np.float32(0.008), np.float32(0.0066)]","[np.float32(0.0016), np.float32(0.0013), np.float32(0.0007), np.float32(0.0006), np.float32(0.0005), np.float32(0.0004), np.float32(0.0003), np.float32(0.0003)]",5.181279182434082,7.011829376220703,0.7876189947128296,0.9983031179057976,1.2259632514134182,0.23362325131893158,8.950229797363281
22,T3,6,14,16,"[np.float32(0.4415), np.float32(0.3274), np.float32(0.1183), np.float32(0.0321), np.float32(0.02), np.float32(0.0132), np.float32(0.0103), np.float32(0.0073)]","[np.float32(0.0018), np.float32(0.0012), np.float32(0.0007), np.float32(0.0005), np.float32(0.0005), np.float32(0.0004), np.float32(0.0003), np.float32(0.0002)]",3.962493896484375,6.224729537963867,0.7689163088798523,0.998755799475249,0.8878656178245101,0.25576403737068176,8.343951740264892
