layer,position,n_horizon,rho_pc1_horizon,rho_pc2_horizon,rho_pc3_horizon,rho_pc1_reward_ratio,rho_pc1_short_reward,rho_pc1_short_delay,rho_pc1_long_delay,evr_pc1,evr_pc2,evr_pc3,cum_evr_2,cum_evr_5,cum_evr_10,n_pc_horizon,evr_top10,rho_top10,n_choice,silhouette_choice_pc3,rho_pc1_p_short,ridge_r2_horizon
0,T0,1927,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",2000,0.0,,
0,T1,1927,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",2000,0.0,,
0,T2,1927,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",2000,0.0,,
0,T3,1927,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",2000,0.0,,
0,T4,1927,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",2000,0.0,,
0,T5,1927,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",2000,0.0,,
0,T6,1927,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",2000,0.0,,
0,T7,1927,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",2000,0.0,,
0,T8,1927,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",2000,0.0,,
0,R0,1927,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",2000,0.0,,
0,R1,1927,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",2000,0.0,,
0,R2,1927,,,,,,,,,,,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[null, null, null, null, null, null, null, null, null, null]",2000,0.0,,
0,R3,1927,-0.03616526828034305,-0.07099129478159193,-0.03616526828034305,0.003723334947281198,0.007324368114612428,0.116829667427452,0.01827851427863843,0.8024182915687561,0.19758197665214539,6.37329598818237e-13,1.000000238418579,1.000000238418579,1.000000238418579,0,"[0.8024, 0.1976, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.036, 0.071, 0.036, 0.071, 0.071, 0.012, 0.036, 0.036, 0.071, 0.036]",2000,-0.011152364313602448,0.05677000713961859,
0,R4,1927,0.12740238853853597,0.007118086599188762,-0.07715744950847452,0.13075311569403186,0.07045002182376248,-0.12440281860932176,0.04103070839499596,0.606432318687439,0.29882583022117615,0.09474168717861176,0.9052581787109375,0.9999998807907104,0.9999998807907104,0,"[0.6064, 0.2988, 0.0947, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.127, 0.007, 0.077, 0.007, 0.129, 0.057, 0.057, 0.057, 0.013, 0.089]",2000,-0.09466977417469025,0.022571073032292367,
0,R5,1927,0.12825603462379764,0.0066522342103735805,0.0066522342103735805,0.1354496769445141,0.08287267956518381,-0.1154789718704223,0.040917778530850574,0.6963768005371094,0.3036232888698578,4.272758091349721e-13,1.0000001192092896,1.0000001192092896,1.0000001192092896,0,"[0.6964, 0.3036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.128, 0.007, 0.007, 0.007, 0.007, 0.129, 0.007, 0.129, 0.007, 0.128]",2000,-0.08960366994142532,0.02848805575151646,
0,R6,1927,-0.07338630403563061,-0.0939752452937682,-0.05990211754008834,0.012439280798842859,-0.06581098788308505,0.01964986499746112,0.014848337006446314,0.35309359431266785,0.2652400732040405,0.24658691883087158,0.6183336973190308,1.0000001192092896,1.0000001192092896,0,"[0.3531, 0.2652, 0.2466, 0.1124, 0.0227, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.073, 0.094, 0.06, 0.04, 0.023, 0.02, 0.096, 0.008, 0.074, 0.057]",2000,0.002910720417276025,0.06791188321229702,
0,R7,1927,-0.020200388606941795,0.09579360768902725,0.09929254134097926,0.12208355385419535,-0.5008488308559196,-0.02624648081413013,0.07288136288983756,0.5606061220169067,0.19411113858222961,0.14295907318592072,0.754717230796814,0.9994587302207947,1.0000001192092896,0,"[0.5606, 0.1941, 0.143, 0.0805, 0.0213, 0.0005, 0.0, 0.0, 0.0, 0.0]","[0.02, 0.096, 0.099, 0.01, 0.133, 0.102, 0.022, 0.067, 0.13, 0.01]",2000,0.03016860969364643,0.0701774202212872,
1,T0,1927,-0.3519726274665809,0.39423405973931014,-0.184420608953255,-0.22130250671206117,-0.27011511420419,0.009175702199540208,-0.12096467557802484,0.736305832862854,0.083615243434906,0.06839931011199951,0.81992107629776,0.9348078966140747,0.9664344191551208,2,"[0.7363, 0.0836, 0.0684, 0.0312, 0.0153, 0.0117, 0.0069, 0.0047, 0.0047, 0.0036]","[0.352, 0.394, 0.184, 0.044, 0.074, 0.048, 0.081, 0.141, 0.143, 0.009]",2000,0.2375824898481369,0.1507921962843264,
