position,layer,n95,n99,n_dims_above_noise,scree3,noise3,tortuosity,planarity2,split_half_r,snr,mean_pr
T3,1,7,13,16,0.07100889086723328,0.0005786138935945928,4.707587718963623,0.7836030721664429,0.998561112434465,0.20557387173175812,6.015637435913086
R0,1,6,13,16,0.0361504852771759,0.0022789512295275927,2.496142625808716,0.8590568900108337,0.9969747280334114,0.05215322598814964,4.813801999092102
T3,2,8,15,16,0.049987100064754486,0.00263589876703918,4.129614353179932,0.8038147687911987,0.9914227831204415,0.16732896864414215,3.8125195407867434
R0,2,7,15,16,0.04336988925933838,0.001570187509059906,2.588327169418335,0.849410891532898,0.9951644527525303,0.05659036710858345,4.7777657794952395
T3,3,7,15,16,0.026886112987995148,0.002102697966620326,3.2071340084075928,0.8753274083137512,0.9974526320362059,0.13025015592575073,4.408663854598999
R0,3,7,16,16,0.03840605169534683,0.001421657856553793,2.830474376678467,0.8509015440940857,0.9917689595574561,0.07034531235694885,4.205279560089111
T3,4,8,16,16,0.024202479049563408,0.0025568604469299316,3.060763120651245,0.86414635181427,0.9962546840795291,0.1562032848596573,4.859690275192261
R0,4,8,16,16,0.03757396340370178,0.0019181965617462993,3.070810556411743,0.8345695734024048,0.9905234755504511,0.09825317561626434,4.335058717727661
T3,5,7,16,16,0.026356937363743782,0.0018451032228767872,2.7715651988983154,0.871877908706665,0.9956527582096645,0.11293753981590271,4.716089668273926
R0,5,8,16,16,0.040519919246435165,0.002626372966915369,3.327760696411133,0.8212484121322632,0.9866628898244318,0.10931339859962463,4.732348175048828
T3,6,8,17,16,0.03737836703658104,0.0018339650705456734,3.002732038497925,0.8446800112724304,0.9953650811400863,0.1372089982032776,5.2292074203491214
R0,6,8,16,16,0.04877738654613495,0.0021361808758229017,3.2884559631347656,0.8151464462280273,0.9879644962898162,0.10714516043663025,5.031122570037842
T3,7,9,17,16,0.07399634271860123,0.0019413093104958534,2.8579792976379395,0.777897298336029,0.9939226868968908,0.11641829460859299,5.945001411437988
R0,7,10,18,16,0.09032382071018219,0.0020578079856932163,3.077086925506592,0.7149266004562378,0.9933689484989021,0.11282330006361008,6.3227408981323245
T3,8,10,17,16,0.09579532593488693,0.0019230624893680215,3.0676095485687256,0.7374166250228882,0.9942913321128827,0.11657174676656723,6.48912275314331
R0,8,9,17,16,0.08593697845935822,0.002012715907767415,3.240574359893799,0.7197781801223755,0.9915867770598045,0.14651870727539062,6.179028167724609
T3,9,10,18,16,0.11236657947301865,0.002333050826564431,2.9160408973693848,0.6884082555770874,0.9940859362660706,0.09597306698560715,8.348998756408692
R0,9,9,18,16,0.08644308894872665,0.002516484586521983,3.493695020675659,0.7179120182991028,0.9904175291820715,0.12211699038743973,6.9987766075134275
T3,10,10,18,16,0.10895390808582306,0.002610247815027833,2.8915302753448486,0.6962333917617798,0.9929566926175613,0.08249082416296005,8.021734294891358
R0,10,9,18,16,0.08490937948226929,0.0025736456736922264,3.4936296939849854,0.7244953513145447,0.9890400108888895,0.12784172594547272,7.339236793518066
T3,11,10,18,16,0.12249233573675156,0.002177805406972766,2.7290782928466797,0.692383885383606,0.9912914735081054,0.06564661115407944,6.492195930480957
R0,11,9,17,16,0.08470772951841354,0.0027655563317239285,3.6929078102111816,0.7303705215454102,0.987902357818143,0.1606893688440323,7.453223781585693
T3,12,9,17,16,0.1147352010011673,0.0018405078444629908,2.9030439853668213,0.6935294270515442,0.9930195411577353,0.09927290678024292,6.764949684143066
R0,12,9,17,16,0.07519911229610443,0.0024580347817391157,3.577346086502075,0.7451595067977905,0.9889579988641002,0.13394993543624878,7.620437068939209
T3,13,10,18,16,0.10804429650306702,0.0021709869615733624,2.8656108379364014,0.6960688829421997,0.9920519008250369,0.11278503388166428,6.936674041748047
R0,13,9,16,16,0.059927716851234436,0.001550709130242467,2.8051233291625977,0.7575022578239441,0.9931917699378701,0.16723570227622986,8.288682899475099
T3,14,9,18,16,0.10388495028018951,0.0020572326611727476,2.7713067531585693,0.710293710231781,0.9963599203978921,0.1752319633960724,7.916939392089843
R0,14,8,16,16,0.07314583659172058,0.0010121477534994483,2.565298557281494,0.7561451196670532,0.9976724237565707,0.21241573989391327,8.705041904449462
T3,15,10,18,16,0.11355569213628769,0.0016706171445548534,2.8086390495300293,0.7035690546035767,0.9966792280052377,0.22747695446014404,9.055687141418456
R0,15,8,16,16,0.07104943692684174,0.0011415253393352032,2.608992338180542,0.7617552280426025,0.9976953697322395,0.20320013165473938,8.443994140625
T3,16,8,16,16,0.09463594108819962,0.0011126091703772545,2.6840760707855225,0.756393551826477,0.9982580216414392,0.21745306253433228,9.12645544052124
R0,16,8,16,16,0.0867900475859642,0.0010652836645022035,2.669071674346924,0.767390251159668,0.9982960574402682,0.2044091373682022,8.307031860351563
T3,17,8,16,16,0.08876705169677734,0.0011205044575035572,2.6797425746917725,0.7647686004638672,0.9983716471611325,0.21714264154434204,9.453278656005859
R0,17,7,15,16,0.11128316819667816,0.0009515916462987661,3.3713173866271973,0.730049729347229,0.9984383744535235,0.1969774216413498,8.247711849212646
T3,18,7,15,16,0.11048419773578644,0.0009399073896929622,2.896787643432617,0.7537569403648376,0.9983154887666785,0.22136053442955017,8.514562149047851
R0,18,7,15,16,0.10737097263336182,0.0008756628376431763,3.4068236351013184,0.7606693506240845,0.9987093900482166,0.24631066620349884,7.819775714874267
T3,19,7,15,16,0.12393617630004883,0.0007316828705370426,3.204591989517212,0.7412002682685852,0.998585582249425,0.2502281069755554,8.283446311950684
R0,19,6,15,16,0.10334012657403946,0.0009154276340268552,3.30464768409729,0.7722007632255554,0.9986389543741582,0.24837049841880798,7.946137504577637
T3,20,7,14,16,0.12397439032793045,0.0006028329371474683,3.939103841781616,0.7457667589187622,0.998701700412661,0.24019873142242432,8.22245822906494
